Time:                Speed(Knots):        Altitude(Feet):      Pressure(psi):       Temperature(F):      Pitch():             
2009:20:06:45:47     520.2307392162414    67381.28187216124    68.442148414114      -91.0460662659053    11.343846189839413   
2009:20:06:45:47     521.2036799751518    43959.152872076476   62.736611035577596   -0.7069726665967266  12.08791446568609    
2009:20:06:45:47     545.95409190409      69778.48498382047    68.94901489132077    -82.49981230201962   11.487744169219194   
2009:20:06:45:47     588.6587593765523    45358.911125414605   63.445339467587125   1.7248885335501427   12.128907641567588   
2009:20:06:45:47     546.3838514138224    70489.96039116582    69.4730842096769     -75.48273508438797   12.40873182448744    
2009:20:06:45:48     606.6870657974608    48559.58190992862    65.81323586342891    2.0364919244110666   12.692228877694756   
2009:20:06:45:48     564.0448504035231    71744.79088710604    69.53432612942679    -64.2335507790066    12.793570785501384   
2009:20:06:45:48     607.9578879159947    51368.10910382872    65.82138587723941    8.576072461805012    12.743606324489143   
2009:20:06:45:48     630.9980224300891    72153.99265169777    69.6135488450722     -56.59402501365929   13.388950861446258   
2009:20:06:45:48     634.0538218063697    51829.16856214105    67.0926245697201     8.88403900999603     13.279377702611972   
2009:20:06:45:48     653.0369671373015    74133.08309043766    71.19311003592865    -54.775177870710564  13.960337216889119   
2009:20:06:45:48     639.2394437128108    52287.704085405625   67.30402474062869    11.789805595578173   13.388537402970535   
2009:20:06:45:48     677.5335607342475    76846.0328260095     72.18628653607229    -48.543346487984024  15.253290185859935   
2009:20:06:45:49     650.778196183262     55261.290128199806   68.77500359318       19.40305134627839    13.789242160135107   
2009:20:06:45:49     683.3367790343378    79425.20865446124    73.02414283797742    -46.403946563233006  15.505128106977594   
2009:20:06:45:49     688.8955352883152    58460.372610911196   69.39847148140555    29.788703799581526   14.165161825940597   
2009:20:06:45:49     687.8485104171916    79677.23668202553    73.02827811803914    -41.67008950122835   15.63759117926925    
2009:20:06:45:49     730.823481136142     62299.54005598118    69.42185694937208    37.19534199812773    14.519580819809475   
2009:20:06:45:49     715.2408382786448    81017.55119639578    74.2155480056339     -38.400477417845906  15.724353691119008   
2009:20:06:45:49     768.2684747593449    68663.62113694788    69.6656995967737     37.834808645111615   15.073632624079124   
2009:20:06:45:49     726.9063232388755    82598.91546369165    74.80749010014942    -36.940909209677926  15.775030759730313   
2009:20:06:45:50     770.2290763256077    69367.98477495609    71.39101148035509    50.62215187649104    16.142733162945312   
2009:20:06:45:50     739.7053843492281    86367.35010168029    74.84869127977856    -33.77130597220696   15.961239970150942   
2009:20:06:45:50     809.3159500623759    71187.98145522206    71.51886752994274    50.64123890495891    16.482040260165075   
2009:20:06:45:50     744.0086748143524    86694.57223061343    75.14350126571645    -24.4036461698623    16.351629630759      
2009:20:06:45:50     837.7817503374669    72942.91336168935    71.53277946631343    51.064625616535174   16.618197999184037   
2009:20:06:45:50     747.7322896731172    86825.34009492153    75.25289338539021    -7.12771106390484    17.074472600210576   
2009:20:06:45:50     845.8391603847534    79463.47467078952    72.21322928761653    62.35055128171575    16.964642691959455   
2009:20:06:45:50     779.1443019501993    86996.45025361686    75.77634534220002    -6.826590722866982   17.150486603635695   
2009:20:06:45:51     863.0379014801098    79907.74407579322    72.83606402856746    62.84524074880994    17.192631741138285   
2009:20:06:45:51     805.5828477178269    87649.42904360702    76.08581754330768    -2.898325685274827   17.1861401766227     
2009:20:06:45:51     870.0447593510073    82572.41210838986    74.02411433000356    63.187357993480035   17.36194106276384    
2009:20:06:45:51     808.5495300101333    88167.5953159239     76.33020254969037    6.122549453661321    17.404589684292336   
2009:20:06:45:51     885.3014692433529    83514.35198509876    74.71672721764189    63.82482042981037    17.49342287306378    
2009:20:06:45:51     812.9599343684986    89464.99362658878    77.00827749295591    20.204109518273384   17.409527553427782   
2009:20:06:45:51     902.8344750775351    88658.5666580204     77.77517059035065    65.8838189334861     17.536931535631993   
2009:20:06:45:51     837.4541127394307    90999.80410300664    77.282849279523      25.930411138685926   17.476142296530238   
2009:20:06:45:52     910.1728760360548    90034.68660340342    78.11573656629656    66.6256794623785     18.699431670809208   
2009:20:06:45:52     854.8512566180148    94503.71035158247    78.50408980737188    26.43154693715435    17.48090428635135    
2009:20:06:45:52     955.9625494024432    93760.9169838217     78.43849477050746    75.67881514126606    18.895321648069974   
2009:20:06:45:52     885.4277934317588    94579.6063586699     78.7776042850441     40.609404838195125   18.05517376569109    
